alt-total-try,alt-total-try.1,alt-total-try.2,alt-total-try.3,alt-total-try.4,alt-total-try.5,alt-total-try.6,alt-total-try.7,alt-total-try.8,alt-total-try.9,alt-total-try.10,alt-total-try.11,alt-total-try.12,alt-total-try.13,alt-total-try.14,alt-total-try.15,alt-total-try.16,alt-total-try.17,alt-total-try.18,alt-total-try.19,alt-total-try.20,alt-total-try.21,alt-total-try.22,alt-total-try.23,alt-total-try.24,alt-total-try.25,alt-total-try.26,alt-total-try.27,alt-total-try.28,alt-total-try.29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,102,102,105,100,102,103,102,108,104,106,104,99,103,105,103,96,100,101,100,104,110,104,106,102,102,99,107,99,106
241,257,252,249,249,255,254,256,284,277,256,270,245,259,269,267,244,241,252,254,248,280,250,259,247,264,252,255,230,262
469,508,473,475,468,501,484,510,548,551,481,526,486,510,534,510,485,464,487,484,455,534,473,505,460,510,477,481,432,484
803,875,803,818,777,860,806,851,921,922,835,901,810,863,901,863,844,797,824,816,762,922,776,838,798,826,796,829,744,806
1263,1368,1257,1291,1203,1331,1262,1299,1425,1404,1320,1421,1236,1344,1390,1336,1298,1233,1261,1269,1173,1450,1182,1253,1272,1217,1229,1301,1181,1231
1867,1983,1846,1902,1750,1918,1829,1865,2061,2002,1923,2038,1775,1949,1983,1939,1872,1789,1805,1850,1688,2097,1721,1785,1845,1732,1792,1880,1745,1772
2594,2719,2566,2634,2405,2655,2500,2582,2815,2694,2646,2753,2435,2684,2680,2662,2555,2463,2472,2562,2323,2842,2389,2440,2541,2376,2493,2552,2446,2423
3386,3526,3374,3458,3139,3475,3263,3389,3638,3508,3457,3534,3177,3492,3442,3472,3337,3230,3237,3376,3084,3665,3166,3209,3333,3142,3295,3323,3247,3198
4252,4396,4249,4339,3941,4347,4106,4274,4521,4372,4327,4390,3998,4370,4282,4352,4182,4068,4094,4234,3944,4547,4014,4075,4182,4009,4158,4168,4110,4041
5170,5300,5149,5264,4788,5254,4996,5179,5430,5281,5237,5289,4864,5280,5173,5263,5080,4963,4991,5124,4845,5465,4904,5001,5074,4908,5057,5054,5004,4923
6101,6219,6069,6189,5680,6181,5919,6103,6364,6203,6160,6204,5771,6205,6095,6187,5992,5880,5904,6037,5777,6389,5816,5934,5990,5829,5976,5960,5915,5825
7033,7144,6999,7117,6598,7103,6845,7029,7292,7135,7084,7131,6689,7134,7020,7123,6925,6806,6828,6968,6709,7317,6740,6868,6915,6750,6902,6885,6839,6740
7973,8076,7931,8048,7525,8032,7777,7963,8227,8065,8012,8056,7617,8066,7949,8059,7849,7734,7753,7895,7644,8245,7666,7803,7841,7676,7829,7813,7770,7658
8908,9003,8863,8979,8457,8956,8706,8894,9157,9000,8941,8984,8543,8997,8880,8999,8784,8661,8683,8827,8578,9174,8595,8738,8767,8599,8760,8744,8703,8583
9849,9937,9798,9911,9388,9888,9639,9830,10093,9936,9872,9911,9475,9930,9811,9937,9710,9593,9612,9755,9515,10105,9522,9673,9693,9528,9689,9673,9635,9510
10786,10867,10734,10844,10322,10813,10569,10762,11029,10872,10803,10840,10405,10865,10745,10878,10645,10522,10542,10687,10451,11034,10453,10609,10619,10454,10620,10607,10568,10438
11727,11801,11669,11778,11254,11746,11504,11698,11966,11808,11736,11769,11338,11799,11679,11818,11577,11457,11472,11618,11390,11965,11381,11544,11547,11384,11549,11538,11502,11369
12665,12732,12605,12712,12189,12673,12435,12633,12903,12744,12668,12698,12271,12735,12614,12760,12512,12390,12404,12552,12327,12896,12315,12481,12473,12310,12481,12472,12436,12299
13606,13666,13541,13647,13122,13606,13370,13569,13840,13682,13602,13630,13205,13671,13548,13702,13445,13325,13335,13483,13267,13827,13246,13417,13403,13240,13412,13403,13369,13232
14545,14600,14477,14582,14058,14536,14302,14506,14777,14619,14534,14559,14138,14608,14484,14644,14381,14260,14268,14418,14205,14759,14180,14355,14331,14170,14345,14338,14305,14164
15486,15535,15413,15519,14992,15469,15237,15442,15714,15559,15468,15491,15072,15545,15418,15586,15315,15196,15201,15349,15145,15692,15114,15292,15263,15100,15277,15272,15238,15097
16426,16470,16350,16455,15929,16401,16170,16379,16652,16497,16401,16421,16005,16482,16354,16528,16251,16131,16133,16284,16083,16625,16048,16230,16192,16030,16211,16208,16174,16029
17367,17406,17287,17392,16865,17335,17105,17315,17589,17437,17336,17353,16940,17419,17289,17470,17185,17067,17066,17215,17023,17559,16983,17167,17124,16961,17145,17142,17108,16962
18307,18341,18224,18328,17802,18267,18038,18252,18527,18375,18270,18283,17874,18356,18225,18413,18121,18002,17998,18150,17961,18493,17917,18105,18053,17891,18080,18077,18044,17895
19248,19277,19161,19265,18738,19201,18973,19188,19464,19316,19206,19215,18809,19293,19160,19356,19057,18938,18932,19081,18901,19427,18852,19042,18986,18822,19014,19012,18978,18828
20188,20213,20098,20202,19675,20133,19907,20125,20403,20255,20141,20146,19744,20230,20097,20299,19994,19874,19864,20016,19839,20361,19787,19980,19915,19752,19949,19947,19914,19762
21129,21149,21035,21138,20611,21067,20843,21061,21341,21196,21077,21078,20679,21167,21032,21242,20930,20810,20798,20948,20779,21296,20722,20917,20848,20683,20884,20882,20849,20697
22069,22085,21972,22075,21548,22000,21778,21998,22280,22137,22013,22009,21614,22104,21969,22185,21867,21746,21730,21883,21717,22230,21658,21855,21778,21613,21819,21817,21785,21632
23010,23021,22909,23011,22484,22934,22714,22934,23219,23078,22949,22943,22548,23041,22905,23128,22803,22682,22664,22816,22657,23165,22593,22792,22711,22544,22754,22752,22720,22567
23950,23957,23846,23948,23422,23867,23649,23871,24158,24020,23885,23875,23484,23978,23842,24071,23740,23618,23597,23750,23596,24100,23530,23730,23642,23475,23690,23687,23656,23503
24891,24893,24783,24884,24359,24801,24585,24807,25098,24960,24821,24809,24419,24915,24778,25014,24676,24554,24531,24684,24536,25035,24466,24667,24575,24406,24626,24622,24591,24438
25831,25829,25720,25821,25297,25734,25521,25744,26036,25902,25757,25741,25355,25852,25715,25958,25613,25490,25465,25618,25475,25970,25403,25605,25506,25337,25562,25557,25527,25374
