Reference family,Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
author,Example,0.16968216,0.24218865,0.18852932,0.76416561,0.15157126,1.98791954
author,Evidence,0.03744781,0.09105606,0.40469829,2.36409259,1.79972020,0.89824837
author,Evidence_AND_Example,0.32650905,0.33925907,0.59368091,3.14947487,1.96003634,2.91170437
author,Evidence_AND_Insights,0.75552109,0.22466270,0.95167597,3.88815759,4.65428520,5.58251152
author,Evidence_AND_Role,0.16103912,0.15507921,0.47241316,2.50952492,1.88139670,2.18074347
author,Insights,0.64524545,0.00725215,0.28181900,1.44640327,2.78854934,4.66115808
author,Insights_AND_Example,0.89013077,0.24947743,0.50061998,2.21505466,2.94039840,6.74779229
author,Role,0.01954288,0.06191787,0.00740623,0.03692008,0.03738870,0.89144364
author,Role_AND_Example,0.82309540,0.30921259,0.39361034,1.41988948,1.02414858,2.96960220
author,Role_AND_Insights,0.74691059,0.07009316,0.33759109,1.84325422,3.35538303,5.57066059
author,Summarizer,17.50930176,19.26035623,17.95982894,14.30803160,12.76561747,10.15078491
author,Summarizer_AND_Example,17.97623012,19.58004646,18.66491327,15.33870560,13.52172370,13.18244228
author,Summarizer_AND_Evidence,20.15376073,19.64056279,20.19491828,18.50508737,17.80479225,11.45182309
author,Summarizer_AND_Insights,19.83979381,19.65882355,19.10424518,16.38548389,16.77743236,15.23802272
author,Summarizer_AND_Role,19.94578925,20.11001209,19.94405002,15.82575426,18.53755646,15.57514292
gpt5.2_long,Example,0.22406184,6.83184314,0.02223455,0.13041585,0.00335653,8.19621284
gpt5.2_long,Evidence,10.06698140,9.44080455,19.68753903,22.01164249,18.07707512,2.05778379
gpt5.2_long,Evidence_AND_Example,11.02273010,17.59815744,20.51981663,24.09416064,20.66311473,10.39249539
gpt5.2_long,Evidence_AND_Insights,14.80247438,13.66744893,23.01470441,23.44961449,23.37439080,15.84884860
gpt5.2_long,Evidence_AND_Role,20.68886109,13.01872015,21.76331655,23.36344252,19.56319325,3.36454622
gpt5.2_long,Insights,3.43203651,4.12667588,2.79483668,0.79509073,4.68491610,13.52138965
gpt5.2_long,Insights_AND_Example,4.24036802,12.62213122,3.18930197,1.12672222,4.69651071,22.00639236
gpt5.2_long,Role,10.59193722,3.46831426,1.99912359,1.34682191,1.41150250,0.93237000
gpt5.2_long,Role_AND_Example,10.81655922,10.65634682,2.08298981,1.47836873,1.41488248,9.15919417
gpt5.2_long,Role_AND_Insights,14.11399023,8.56955760,4.92613677,2.20372043,6.11105778,14.52076697
gpt5.2_long,Summarizer,,,,,,
gpt5.2_long,Summarizer_AND_Example,,,,,,
gpt5.2_long,Summarizer_AND_Evidence,,,,,,
gpt5.2_long,Summarizer_AND_Insights,,,,,,
gpt5.2_long,Summarizer_AND_Role,,,,,,
gpt5.2_short,Example,0.02393565,0.22851939,0.45785628,0.13518056,0.13442031,1.98791954
gpt5.2_short,Evidence,0.63487612,0.20629965,0.09101329,0.26345850,0.12798918,0.89824837
gpt5.2_short,Evidence_AND_Example,0.82958877,0.43925645,0.55329522,0.42736703,0.28678674,2.91170437
gpt5.2_short,Evidence_AND_Insights,0.68978941,0.30940270,0.16498452,0.34970538,0.69780680,5.58251152
gpt5.2_short,Evidence_AND_Role,0.82909997,0.34337441,0.36795131,0.42088367,0.21326052,2.18074347
gpt5.2_short,Insights,0.00038263,0.04493717,0.00001979,0.03979574,0.34546780,4.66115808
gpt5.2_short,Insights_AND_Example,0.02446081,0.27427715,0.47117480,0.18146514,0.49821682,6.74779229
gpt5.2_short,Role,0.14599622,0.13615571,0.25728915,0.13382833,0.02424668,0.89144364
gpt5.2_short,Role_AND_Example,0.17408028,0.38679604,0.74534959,0.28618712,0.30461854,2.96960220
gpt5.2_short,Role_AND_Insights,0.16419760,0.18320763,0.27309083,0.23362954,0.52861123,5.57066059
gpt5.2_short,Summarizer,17.90517602,19.12372145,18.58450639,18.47535975,17.93780284,10.15078491
gpt5.2_short,Summarizer_AND_Example,18.16319173,19.38400083,19.17693806,18.65037894,18.15915337,13.18244228
gpt5.2_short,Summarizer_AND_Evidence,18.76531519,19.46728861,19.41360946,19.28172558,18.76371057,11.45182309
gpt5.2_short,Summarizer_AND_Insights,18.72615702,19.57501380,19.21227553,19.50529193,19.19678511,15.23802272
gpt5.2_short,Summarizer_AND_Role,22.92375258,19.89774903,20.23064578,21.61574280,22.78112349,15.57514292
modeler,Example,0.02995853,0.15163480,0.20904965,0.00712551,0.01244459,1.99690804
modeler,Evidence,0.78656643,0.18064979,0.02166241,2.80509924,0.47570180,1.52919220
modeler,Evidence_AND_Example,0.91946039,0.34866971,0.25579727,2.83078453,0.49658139,3.64825559
modeler,Evidence_AND_Insights,0.86252605,0.30921651,0.35421898,3.72963286,1.39036225,6.49530993
modeler,Evidence_AND_Role,0.81795005,0.48017254,0.19169718,2.95596298,0.66556184,2.55004834
modeler,Insights,0.01273595,0.00058743,0.08731289,0.86131186,0.75588456,4.92892679
modeler,Insights_AND_Example,0.14121402,0.16584251,0.32722688,0.86844156,0.81936582,7.05475736
modeler,Role,0.00028133,0.28584541,0.14490997,0.09635847,0.06136711,0.61499756
modeler,Role_AND_Example,0.06915840,0.46876822,0.44909907,0.17404693,0.22972429,2.75501862
modeler,Role_AND_Insights,0.03416530,0.28670906,0.25899849,1.07983018,1.03651319,5.61866579
modeler,Summarizer,18.39292331,18.82620274,18.26884017,15.28090952,16.87136768,9.25174721
modeler,Summarizer_AND_Example,18.70908727,19.11470984,18.80447461,15.69879529,17.36563043,13.56226525
modeler,Summarizer_AND_Evidence,19.98169532,19.25538597,19.26242287,19.36064836,19.08185173,11.07450707
modeler,Summarizer_AND_Insights,18.97172048,19.27981831,19.03692749,16.59928778,18.42719983,14.84934961
modeler,Summarizer_AND_Role,20.27055718,20.84578716,22.32736209,17.65176493,22.31044350,14.07005063
