mean [value-health-deviation] of turtles,mean [value-health-deviation] of turtles.1,mean [value-health-deviation] of turtles.2,mean [value-health-deviation] of turtles.3,mean [value-health-deviation] of turtles.4,mean [value-health-deviation] of turtles.5,mean [value-health-deviation] of turtles.6,mean [value-health-deviation] of turtles.7,mean [value-health-deviation] of turtles.8,mean [value-health-deviation] of turtles.9,mean [value-health-deviation] of turtles.10,mean [value-health-deviation] of turtles.11,mean [value-health-deviation] of turtles.12,mean [value-health-deviation] of turtles.13,mean [value-health-deviation] of turtles.14,mean [value-health-deviation] of turtles.15,mean [value-health-deviation] of turtles.16,mean [value-health-deviation] of turtles.17,mean [value-health-deviation] of turtles.18,mean [value-health-deviation] of turtles.19,mean [value-health-deviation] of turtles.20,mean [value-health-deviation] of turtles.21,mean [value-health-deviation] of turtles.22,mean [value-health-deviation] of turtles.23,mean [value-health-deviation] of turtles.24,mean [value-health-deviation] of turtles.25,mean [value-health-deviation] of turtles.26,mean [value-health-deviation] of turtles.27,mean [value-health-deviation] of turtles.28,mean [value-health-deviation] of turtles.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1228971111240279,0.1212505961281888,0.1158270230241358,0.1224309862536996,0.1176142971658481,0.1185984280028303,0.127534103362028,0.1160657592718459,0.1245100969155825,0.1234554970481846,0.1206147190107471,0.1233391533302376,0.1187601836435822,0.1250953961500639,0.1189398149009902,0.1221180601722161,0.1198695653588189,0.1300737288025817,0.1294351951967496,0.1212969118672199,0.1099527507164821,0.1301682541648496,0.1189788095007885,0.111872474695892,0.1340034406621174,0.1199109430264767,0.1294723420592362,0.1198952983414134,0.1210692579120713,0.123343553874825
0.1875178572122769,0.1935665535273581,0.1928583816491192,0.191080900799122,0.1846060406903799,0.191284982419661,0.2056720285607192,0.2028653164830857,0.2007033769295891,0.2037841503891472,0.191087373948495,0.1929637158728658,0.1901443269278648,0.1868631126675045,0.1903657412666496,0.1952185211899491,0.1889353345505937,0.1932252163585561,0.195237867878424,0.1819452388420884,0.1814306759977679,0.1994660517005937,0.18305911215546,0.1871961467956154,0.2009622626966548,0.1900243452512065,0.2014713416283073,0.191259938920644,0.1898301831822995,0.1978666495460791
0.2357533839755045,0.2437399033189986,0.237665406162896,0.2395291141800848,0.2287060566328571,0.2395611442313514,0.243934676397078,0.2431809577275239,0.2506473975404072,0.2531353042615021,0.2397974491962316,0.2420871184342662,0.2400903858098763,0.2410119215172994,0.2389710453921078,0.2433096782004708,0.2371627245647548,0.2395415969946338,0.2450651199755001,0.2328805583337754,0.2291028743461959,0.2458506531393859,0.2304317082950398,0.2316363756905185,0.234580755159821,0.2430787189951949,0.2432553476098668,0.2372838616292399,0.2305287549819955,0.238977697108208
0.2663861491755196,0.2793984664516707,0.2683254282343883,0.2776680411703396,0.2579349914972935,0.2796821512913798,0.2742617135392054,0.2744710503740187,0.2850642241153019,0.2890052717907784,0.2786416987150413,0.2786054989020871,0.267107748651883,0.2733035547045152,0.2759942184784763,0.2762468242088095,0.2717897007798171,0.274736374700402,0.2752061590510206,0.2651883754813257,0.261695202499782,0.2918960292147576,0.2581894545591027,0.2678955182675643,0.2655632173680461,0.2676209277777632,0.2757977256070621,0.2710011009430209,0.2666606823328064,0.2690902435240153
0.3044061547002402,0.3188743527390513,0.3061622366580226,0.322145970120003,0.2929471495113253,0.3132521539501434,0.316923831681259,0.3011751430164132,0.3299873305336671,0.3292889139240649,0.3154494504838546,0.3211124855723554,0.2981205414818183,0.3090528526492791,0.3130825787273875,0.3118995736336577,0.3031363956904049,0.3079484692615959,0.3076513507681612,0.2966669432406599,0.287190171578263,0.3320036895009062,0.2870549418308101,0.2958725547168802,0.3045988761443957,0.2950696751575951,0.3083164376588084,0.3067965123944179,0.3021931371939728,0.3022183136391675
0.340919196906667,0.3618333717217918,0.3444081066394215,0.3674420686401066,0.3329870453832128,0.3480068436305431,0.357537310362753,0.3447399299882831,0.3683151925856492,0.3671507458985706,0.3570411472789166,0.3583402352043416,0.3335447245227005,0.356140405609175,0.3500809253046875,0.3552055168824409,0.3421251421929167,0.3377396014330941,0.341598167013938,0.335800143162572,0.3194476198991323,0.3728665942737157,0.3287647901043439,0.3291151999145524,0.3407319691844237,0.337511956501262,0.3457188394181082,0.3489549798834674,0.3404597000117545,0.340154838229211
0.3969185183775194,0.4126153732872588,0.3936999998298152,0.4118960558486861,0.3746158471326841,0.4048997127055385,0.3886238979347691,0.391468912749024,0.4166762674051951,0.4070514985366255,0.4010417727392802,0.3969769739711951,0.3674509078892642,0.4047945577032463,0.3931408056002038,0.3938362484169467,0.3783327779623929,0.3804660166151886,0.3769167207027298,0.3840777741748807,0.3675592471549695,0.414638425162706,0.3700027954087461,0.3636475594781126,0.389284392857544,0.3755565380423035,0.3899675345126642,0.3788200665919892,0.3839666460957353,0.3805665844739642
0.4383216134060146,0.4496787634962449,0.4296046573904252,0.451350453009651,0.4197607724752504,0.4499650599445484,0.4289926303211751,0.4413744429846688,0.4531977297399809,0.4462768652477678,0.4467155158525404,0.4284656377311682,0.4066822403730593,0.4468140242301298,0.4316190917584216,0.4319996366870092,0.4228377401016564,0.4237609305586121,0.4257682759586674,0.4337733875978367,0.4119753560821247,0.4514068735259984,0.410367775293584,0.4131110104938677,0.4316141061410355,0.4209433843430978,0.4322598540260529,0.4253865167777955,0.4344750242006584,0.4270117192549804
0.4737460873474427,0.4848053332890136,0.4649212906272568,0.4832822722421942,0.4570322114241518,0.4787408666945653,0.4644141438779801,0.4816633387649443,0.4838140830732249,0.4813491162644353,0.4827714585642433,0.4721258355350216,0.4439709865882288,0.4816855245473136,0.4725804978848611,0.4755973579225233,0.4615224759735927,0.4657640881750153,0.4648122471860549,0.469481640571309,0.4625410114752352,0.4792190583945011,0.4573120926913932,0.4610621678899492,0.4663941360003249,0.4750074693043359,0.479468527792605,0.462983233162938,0.4743309544161988,0.4684721615361014
0.5016304271474445,0.5176524859613946,0.4910230152673787,0.5111964164230333,0.4861034123972941,0.5078809076972305,0.4942968631917551,0.5112963136231515,0.5056830834880852,0.5088776030685827,0.5110606040561554,0.5038237330331382,0.479052035145717,0.5042446781549751,0.4989319773515979,0.5024780829509073,0.4875258826845969,0.489875125323609,0.5007630052608598,0.4937221294339233,0.4913555711094388,0.5117335651330832,0.4873020193602221,0.4960752111504754,0.5001520297706474,0.5049275374139326,0.5059897964256838,0.4970603164733407,0.5055950083541775,0.4954442856500364
0.5200820821801846,0.5336816379033522,0.5125464245943766,0.5278431693124646,0.5107483482526002,0.5252398683187082,0.5192578470998341,0.5273545830308908,0.5269957472079172,0.5298996766416559,0.5316173089773313,0.5249172155329086,0.504643574335658,0.5200149446627177,0.5207450968438933,0.5210204553887773,0.512855274593892,0.5148823531740147,0.5218459135759477,0.5160557415519298,0.5162713828082607,0.5316447625308679,0.5107403015790583,0.5158280817298777,0.5266453792333607,0.524615989077719,0.5269003578384551,0.5243920762402214,0.5249643237449777,0.515818286875264
0.5304466074812044,0.5433880286855608,0.5274242431579015,0.5399445101416025,0.5263040069377156,0.5348807079142373,0.5338209810178164,0.5374145138393869,0.5361323941322725,0.5408145875997025,0.5419065018833781,0.5371237176452918,0.5227370684234451,0.531788815402884,0.5305368263459468,0.5300298531338433,0.5269665899978485,0.5314236983763811,0.5345811170412981,0.5360131590896211,0.5324513171899335,0.5431245457307262,0.5276115489232766,0.5265140543978768,0.5400908330691055,0.5357388742609195,0.5398439325800345,0.5365746554562294,0.5365704070602869,0.5302158849631564
0.5386356612387165,0.5506038948994344,0.5405157643513658,0.5469747526987164,0.5417911341006405,0.5439539867272919,0.54497667161885,0.5446915828442062,0.5444034374148459,0.547667454029975,0.5483048830113995,0.5462200698647749,0.5335442988273487,0.5417938119300023,0.5387053149257759,0.5381265652343105,0.5381196616535084,0.5404040239772371,0.5447830705642006,0.5479627978297238,0.5417920942800671,0.551362860774209,0.5398810579461808,0.5378154915886002,0.5480168792219902,0.5433929241620632,0.5463784191510406,0.5456244313354124,0.5415983462905023,0.5402050969435682
0.5432261704871303,0.5548432753933376,0.5486006123044852,0.5505904707037041,0.5465875202372058,0.5508451015968029,0.5515131660564158,0.5508197249613541,0.5477747696056077,0.5523771481790545,0.5534537784763371,0.5511360260005123,0.5403504554278212,0.5472223696587313,0.5445497477303528,0.5435060796271641,0.545630769825555,0.5484933939668366,0.5511796423904164,0.5554037380773709,0.5474601000880016,0.5586779426044871,0.5492144403269222,0.5449603297734746,0.5528815059328489,0.5487775067675271,0.5515635235436207,0.5510822541552249,0.5462733136547716,0.5475899582501483
0.548091472285482,0.5586826880040222,0.5539611676244749,0.555716485313338,0.5528680361960225,0.5556462085964732,0.5572817511357331,0.556725773837689,0.5516904159668009,0.5574702233346766,0.5590960892980618,0.5566718947281998,0.5460301177822333,0.5528048638524513,0.548178006891489,0.5471956091153738,0.5511808487433489,0.5558564968578648,0.5559400479795304,0.5608982898377122,0.5553805267756353,0.5635691161519769,0.55402002159161,0.5488069673757304,0.5594700216835092,0.5553647183481123,0.5551396760133382,0.5559235466557508,0.5505836020880768,0.5528077912504563
0.5512748855803262,0.5620581206520393,0.559394690853281,0.5592308380723067,0.5594391956615028,0.5607259564528707,0.5611598221776138,0.5601341121165462,0.5541370752428417,0.5611829105619787,0.5636405696396127,0.5603572089209446,0.5519810954488542,0.556696901058433,0.5521712558066507,0.5502211054786785,0.5567708093247067,0.5600150885754743,0.5605302889938019,0.5640321355792559,0.5584639845005184,0.5677682811632818,0.5579337546873074,0.5511430451589951,0.5638403093094343,0.5587209117433737,0.5596245136823844,0.5592691081732192,0.5541467331533403,0.5561330705294909
0.552840553609375,0.5654038787860421,0.5624907999412941,0.5625982603054585,0.5619329937244636,0.5636125112386253,0.5645474951530853,0.5635873875367748,0.5549712357215847,0.5631509374717331,0.5669540966192705,0.5636764903737795,0.5541710765503187,0.5594231914523113,0.5560154835371006,0.5521213933091206,0.5591708868783338,0.5639007747390072,0.5625017436720102,0.566726381759513,0.559645553647683,0.571627834062393,0.5607984598444022,0.555152190320153,0.5675394906332755,0.5613749366117944,0.5631479155135016,0.5617139319422445,0.5570816065542871,0.5586833426842269
0.5537573644038231,0.5670666309878297,0.5650850629428653,0.5655739708506397,0.5663346632376651,0.5655283421728815,0.5666554405683291,0.566381604425629,0.5574391163412296,0.5644409555473808,0.5694226703653107,0.565883267707739,0.5556898723828081,0.5611980785786619,0.5591676548200808,0.5534125115252113,0.5636899595129111,0.5662173169957487,0.5656875519322382,0.5691699813297415,0.5614828915437807,0.5738518223044324,0.5638430579531842,0.5568637868792095,0.5706723406900454,0.5638524911313502,0.5657821510526744,0.5648138117379761,0.5589634328348037,0.560393848333291
0.5583246959789993,0.5721913372629202,0.5702074131607938,0.5707231326335337,0.5722411992177117,0.5706839661433859,0.572118886001072,0.5710407516839463,0.56235104760361,0.5695768305013214,0.5743021923169194,0.5712740505569079,0.5608160962862827,0.5656734803415413,0.5643741389544735,0.5595884829643004,0.5688650556996167,0.5716060122379896,0.5705918669151724,0.5741124107953933,0.5672763961122592,0.5779448888024159,0.5692685135109176,0.5617290790017563,0.5760606489998453,0.5681200412559607,0.5711455873639534,0.5706427922336598,0.5634110415178958,0.5660256712950331
0.5614171338570253,0.5757457693044025,0.5742654878323877,0.5745471793605227,0.5751416867995467,0.5747636911429516,0.5758057340312037,0.5744005482439961,0.5672920400167033,0.5732970643722155,0.5789292384117544,0.575236986875098,0.5650343643115149,0.5693682536131716,0.5686347397008353,0.5626205225723296,0.5723064541809795,0.5749518711213575,0.5744984008192077,0.5790855264259075,0.5708820287459215,0.5825099738643607,0.5731385407839202,0.5661577657152558,0.5806795277934395,0.5727784712275932,0.5747971712170415,0.5739542667629012,0.5677249789361264,0.5704303873563543
0.5648420404226694,0.5798835049739982,0.5783169653108239,0.5785677211756857,0.5799047006066936,0.5785811420248774,0.5803217940831641,0.5795805657983905,0.5700824258418673,0.5775091899610669,0.582754297529039,0.5787241238815068,0.5699371405038755,0.5734990813535518,0.5727550257961662,0.5664820364322594,0.5771324749974229,0.5789356988195963,0.5790003699774191,0.5841934786321245,0.5759963439069302,0.5871657307866031,0.5770630626794752,0.5694407013734775,0.5850842954303399,0.5766229760228619,0.5797103634420604,0.5782879357257825,0.5713015565630665,0.574785445115028
0.5680789733975846,0.5846786731712927,0.5831086944291654,0.5821084641508307,0.5837762095021358,0.5831868167497509,0.5845881220857964,0.5833938928199933,0.5738829790032617,0.5810784412403459,0.5873096749905774,0.5826263115186044,0.5741190546602122,0.5768056484752825,0.5765097524928579,0.5698750470125169,0.5808493220601099,0.5827942845797697,0.5826674533727693,0.5883134594680199,0.5800328955989212,0.5904505612023109,0.5804549956963351,0.572591027364954,0.5886638497473585,0.580581919787475,0.5834496447628768,0.5814068983499675,0.5762885008125668,0.5787817522329997
0.5716869727817596,0.5886626964737565,0.5865452915586695,0.5862410565714553,0.5866655989230941,0.5876697553765216,0.5879843663703488,0.5872666476092208,0.5773679032358292,0.5835014439716907,0.5902256142440827,0.5867530643980297,0.5782859950291525,0.5791173986508397,0.5798529647698173,0.5719724118444128,0.5857206844127918,0.58626401295487,0.5858741902905563,0.5915111960473395,0.5833504139823481,0.5934992516427818,0.5829106193835151,0.5753551837971905,0.5938352603303882,0.5849971884132312,0.5864522191092165,0.5869439143481053,0.5801367543675036,0.5830261799344267
0.5750876570975891,0.5930725464766092,0.5919731714334329,0.5926648632002477,0.5917936067665215,0.5934508447337387,0.5913256430555743,0.5911381125459106,0.5811263481686464,0.5862910094513887,0.594972497046529,0.5911963318556965,0.5819047322577289,0.5831978297327498,0.5836718313390851,0.5749477212142455,0.5889938271204753,0.591528975519124,0.5894295829092047,0.5972209651161882,0.5860960187421177,0.5981068428501314,0.5866769328997907,0.5791150968060176,0.5984784791890501,0.5896034198714626,0.5898876048772024,0.5910848163334965,0.5839845413634874,0.5870430043289547
0.5814392539794865,0.5983203970890257,0.5988261023427077,0.5985901524547504,0.5990851661257989,0.5999416869714043,0.59708803053801,0.598590354115293,0.5861361444373485,0.591654727894151,0.601543634216315,0.5964889856839095,0.588615996638617,0.588238580755969,0.5889824525250296,0.5780334332262187,0.5939872132225401,0.5982281548225997,0.5956456223864044,0.6034138469866653,0.5928919185796383,0.6068745569823382,0.5922307270977384,0.5838549589961339,0.6069416138016178,0.5943054256490317,0.5976205068112488,0.5957952907853686,0.5890131880286718,0.5923012696364433
0.5892032760610096,0.6108442692423178,0.6101149293961463,0.6114917026572385,0.6091028610503461,0.6103576814976317,0.606645246013743,0.6113936665375126,0.5984113624591555,0.6058989780466667,0.6133089790633205,0.6074182565435747,0.5996761884711771,0.601134417350629,0.6007035505864801,0.5862025506938014,0.6042219195029354,0.6073281690130897,0.6057131206042413,0.6128222028999308,0.6013566739319272,0.6181180264632965,0.6017761367234146,0.5928271570356966,0.6191180456707668,0.6061641691920747,0.6061826024324379,0.6086386811167186,0.598262862081034,0.6060421618918034
0.5944080564366518,0.6170657384856255,0.6146113181679895,0.6128190504891168,0.6145745400332743,0.6148923367090812,0.6120003239489324,0.6162284803680416,0.6019629512754284,0.6116863180949322,0.6155087959769485,0.611946637160074,0.6060968153871324,0.6072813735182006,0.6068845209556977,0.5892739784140172,0.6071949148492053,0.612718734430126,0.6114953847603622,0.6168290642003116,0.60658368179453,0.6226253910084889,0.6065683314660187,0.6004415850264221,0.6235653794792736,0.6096053645481291,0.6119725307023096,0.6108718321609814,0.6034540644794482,0.6114193481622479
0.6244303577990931,0.6521939997131252,0.646747262241851,0.6451622998403616,0.6467124243532678,0.642689403453222,0.6403425870250996,0.6509805162832061,0.6282403116070826,0.6381543109313906,0.6511414548304898,0.6440062979031814,0.6381184294415094,0.6373080932076427,0.6384162182978578,0.6185376453197488,0.638311186514997,0.6397307059108873,0.6435530534371452,0.6478214159231397,0.638600102082691,0.6562825866940317,0.6381764039133851,0.630295333408515,0.6534351565232425,0.6405103231172291,0.644673836938037,0.6413384578770651,0.6340648328745907,0.6382306530863537
0.6578955730343249,0.6823992630395264,0.6764635814697101,0.6785414356946724,0.6768181737671851,0.6790349029169063,0.678800887854056,0.6803629696225332,0.6583837608535689,0.6633369695195266,0.6828417291358903,0.6790359483217657,0.6697529404134926,0.6701056125973689,0.6722337718415428,0.6438250161158279,0.673763198000055,0.6745147965858542,0.6763238136080783,0.6865729566161599,0.6697247457912432,0.6895223188923467,0.6704923558983863,0.6642308766276377,0.6871917595417992,0.6757163423774587,0.6709117733158045,0.671386823785273,0.6688347251625185,0.6698467062273638
0.6744013026497527,0.6985790578769262,0.6909647422440649,0.6928863502056876,0.6936861672369967,0.6995101118575998,0.6940164175561201,0.6994293276146802,0.6736534998524456,0.6793365652136983,0.702324183445245,0.6968732317444551,0.6860767899804355,0.6858590628619726,0.686224271228978,0.6620160043844445,0.6921244252780138,0.6900492726041052,0.6941260518102275,0.7020044456493088,0.6859152706585251,0.7125875130986262,0.6863976990055144,0.6803358269649588,0.7041854995931317,0.6918204462329053,0.6878990035150921,0.6886727064598053,0.6825421218676396,0.6850995376048332
0.6943036010006878,0.7176453447826008,0.7126165040968132,0.7140943109584119,0.7151826717011621,0.7217424184304913,0.7194465985167734,0.7194217437269064,0.6972206758659414,0.6998395690945826,0.7254062215202337,0.7176945812711432,0.7071777652907602,0.7072349964503135,0.7072138337496977,0.6813723438458836,0.7140669154801789,0.7122550382679043,0.7083126062646181,0.7226373864884631,0.7076720832553146,0.7348260527632724,0.70971133970046,0.7008416151637155,0.7268750885802127,0.7169183682072685,0.710163420219908,0.712977655168797,0.7044451747007819,0.706206153746968
0.7084286957468425,0.7333003441404558,0.7267766018354508,0.727596159190784,0.7272234819250071,0.7331958450587083,0.7353489523729525,0.7329022497180551,0.710902039659995,0.7091683634321823,0.7383501691426694,0.7305304721911362,0.7224807864396147,0.7208144661105278,0.7222283809900424,0.6970258610908424,0.7262826272931998,0.7241766286988651,0.7216895167660567,0.7371875671907153,0.7223481339934116,0.7458657903257225,0.7226876200209627,0.7142539059755775,0.7396160994083408,0.7309658546455479,0.7227604891482329,0.7257483708365746,0.7203029905863911,0.7228501112040859
